WORDPAIR	SEMANTIC	VISUAL
boat#horse	1.67	1.00
napkin#sparrow	1.00	1.00
dishwasher#telephone	2.00	1.00
bat_(baseball)#hammer	2.33	2.67
olive#rice	2.33	1.33
cello#hornet	1.00	1.00
clamp#curtains	1.33	1.00
cockroach#toad	2.33	1.00
helmet#tap	1.00	1.00
sword#zebra	1.00	1.00
sardine#walnut	1.00	1.00
nectarine#pineapple	3.33	2.00
book#thimble	1.00	1.00
bullet#sailboat	1.00	1.67
basket#socks	1.00	1.00
ambulance#bus	3.33	3.33
partridge#platypus	2.33	1.00
carpet#shoes	1.33	1.00
banner#hook	1.33	1.00
catfish#vine	1.00	1.00
blouse#scooter	1.00	1.00
bucket#cannon	1.00	1.67
gloves#hut	1.00	1.00
fan_(appliance)#finch	1.00	1.00
moose#walrus	3.00	2.67
harmonica#tangerine	1.00	1.00
cottage#lobster	1.00	1.00
football#racquet	2.67	1.00
bookcase#crane_(machine)	1.33	1.00
raven#skis	1.00	1.00
cape#grater	1.00	1.00
limousine#tricycle	2.67	2.50
moose#wasp	1.67	1.00
broom#clock	1.00	1.00
banana#butterfly	1.00	1.00
garlic#lettuce	2.67	2.00
clarinet#piano	3.67	1.00
balloon#belt	1.00	1.00
jet#sailboat	2.33	1.00
colander#cork	1.00	1.00
carpet#helmet	1.00	1.00
clamp#drapes	1.00	1.00
mink_(coat)#shield	1.67	1.00
hoe#skis	1.00	1.00
screwdriver#zucchini	1.00	1.00
chapel#shelves	1.00	1.00
bucket#wheel	1.00	1.00
swimsuit#walrus	1.00	1.00
apron#trousers	3.00	3.00
robe#veil	2.00	1.50
bison#menu	1.00	1.00
closet#fridge	1.67	2.00
brush#worm	1.00	1.00
bullet#cucumber	1.00	1.00
envelope#harmonica	1.00	1.00
pony#raven	1.67	1.00
jeep#magazine	1.00	1.00
finch#iguana	1.67	1.00
cage#sparrow	1.33	1.00
gopher#owl	1.67	1.00
bungalow#pistol	1.00	1.00
otter#raccoon	4.00	3.00
bat_(baseball)#bison	1.00	1.00
shed#tricycle	1.00	1.00
accordion#celery	1.00	1.00
coyote#crocodile	2.33	1.00
fawn#keyboard_(musical)	1.00	1.00
ostrich#rooster	4.67	3.00
emu#pigeon	4.00	1.67
bread#yam	3.33	1.00
dishwasher#table	2.33	1.00
car#truck	4.33	3.00
banjo#drill	1.00	1.33
fence#projector	1.00	1.00
magazine#plate	1.00	1.33
housefly#swan	2.00	1.33
bow_(weapon)#tie	1.00	1.33
ashtray#dolphin	1.00	1.00
cat#hare	3.67	2.33
balloon#drum	1.00	1.33
bowl#strainer	3.67	4.00
trout#turnip	1.33	1.00
cup#trumpet	1.00	1.00
iguana#whip	1.00	1.00
giraffe#pony	4.33	2.00
mug#skunk	1.00	1.00
corn#strawberry	3.00	1.00
falcon#fox	2.33	1.00
basket#bedroom	1.67	1.00
bear#turtle	2.00	1.00
dresser#jar	1.00	1.00
ant#lobster	1.67	1.00
chipmunk#porcupine	2.67	2.50
mink_(animal)#mink_(coat)	2.00	2.50
elephant#emu	2.33	1.00
cage#cannon	1.00	1.00
bull#cougar	2.67	1.50
beans#hawk	1.00	1.00
gun#missile	4.00	1.00
bottle#sled	1.00	1.00
lamp#trousers	1.00	1.00
pliers#spear	1.67	1.50
muzzle#saxophone	1.00	1.00
dish#stone	1.00	1.00
octopus#peach	1.00	1.00
subway#tuba	1.00	1.00
pelican#seagull	3.33	3.00
blackbird#corn	1.00	1.00
raven#sardine	1.33	1.00
scissors#sword	1.67	1.50
donkey#walrus	2.67	2.00
cow#oak	1.00	1.00
finch#pine	1.00	1.00
pistol#rocket	2.00	1.50
apple#vest	1.00	1.00
bolts#wheel	2.00	2.00
tray#yacht	1.00	1.00
bureau#sleigh	1.00	1.00
baton#cake	1.00	1.00
catapult#zebra	1.00	1.00
partridge#sailboat	1.00	1.00
bike#harmonica	1.00	1.00
inn#ostrich	1.00	1.00
cork#tomahawk	1.00	1.00
airplane#bomb	1.33	1.00
clarinet#strainer	1.00	1.00
bin_(waste)#stove	1.33	1.00
leopard#salmon	2.00	1.00
buggy#wheel	2.33	2.00
cannon#stick	1.00	1.67
church#couch	1.00	1.00
bureau#jar	1.33	1.00
penguin#pig	2.33	1.67
dolphin#hawk	2.00	1.00
bull#pliers	1.00	1.00
saxophone#telephone	1.00	1.33
broccoli#sweater	1.00	1.00
mole_(animal)#sword	1.00	1.00
crow#napkin	1.00	1.00
lime#mink_(coat)	1.00	1.00
apple#eggplant	2.67	2.67
bowl#pear	1.00	1.00
bookcase#house	2.00	1.33
cabinet#table	2.00	1.67
cup#pot	3.67	3.33
spade#tuba	1.00	1.00
goat#whale	2.33	1.00
chipmunk#mouse	3.67	4.00
bike#book	1.00	1.00
bow_(ribbon)#cabin	1.00	1.00
couch#limousine	1.60	1.40
emu#revolver	1.00	1.00
tangerine#tomato	3.20	3.00
caribou#nightingale	1.80	1.00
eel#oven	1.00	1.00
eggplant#radish	2.40	2.00
yacht#zebra	1.00	1.00
broccoli#microwave	1.40	1.00
onions#potato	2.80	2.20
bowl#seal	1.00	1.00
buzzard#eagle	3.60	3.20
doll#trailer	1.00	1.00
pot#toaster	2.40	1.40
guitar#harp	3.60	2.60
closet#train	1.20	1.20
cart#racquet	1.00	1.00
baton#turnip	1.00	1.00
bedroom#toilet	1.60	1.00
freezer#skunk	1.00	1.00
bungalow#microscope	1.00	1.00
belt#sweater	2.20	1.00
cloak#skirt	2.80	3.00
football#hawk	1.00	1.00
bathtub#stool_(furniture)	1.40	1.00
blouse#pineapple	1.00	1.00
chicken#napkin	1.20	1.00
bin_(waste)#cottage	1.60	1.00
fan_(appliance)#skillet	1.00	1.40
belt#sled	1.00	1.33
boat#cucumber	1.00	1.67
baton#bazooka	1.00	2.33
bench#wheel	1.00	1.00
harp#racquet	1.00	1.67
inn#missile	1.00	1.00
rocker#saddle	1.33	1.67
blender#crossbow	1.00	1.00
ball#doll	2.00	1.00
cauliflower#gloves	1.00	1.00
shack#toaster	1.00	1.33
clarinet#shed	1.00	1.00
bat_(baseball)#fork	1.00	1.67
cello#tripod	1.00	1.33
shawl#skirt	3.00	3.33
asparagus#tangerine	2.67	1.00
jeans#revolver	1.00	1.00
minnow#seal	2.00	1.00
blackbird#butterfly	2.33	2.00
hatchet#pepper	1.00	1.00
gun#pin	1.00	1.00
anchor#bottle	1.00	1.00
bayonet#scissors	3.00	3.00
helicopter#yacht	3.00	1.67
limousine#sofa	1.67	2.00
chicken#mink_(animal)	2.00	1.00
motorcycle#spear	1.00	1.00
catfish#finch	2.00	1.00
crane_(machine)#subway	1.33	1.33
jeep#yam	1.00	1.00
jeep#taxi	3.25	3.50
mat#tuna	1.00	1.00
cauliflower#zebra	1.00	1.25
cod#sandals	1.00	1.00
airplane#donkey	1.25	1.00
birch#tent	1.50	1.50
cupboard#truck	1.00	1.00
tie#vest	3.25	1.75
grasshopper#groundhog	2.00	1.00
beetle#whale	1.75	1.00
ant#rat	2.00	1.50
menu#tricycle	1.00	1.00
elk#train	1.00	1.00
pajamas#trolley	1.00	1.00
bottle#wrench	1.25	1.25
accordion#bazooka	1.00	1.00
helicopter#shawl	1.00	1.00
pineapple#snail	1.00	1.25
sleigh#whistle	1.00	1.25
dagger#whip	2.50	1.00
tray#violin	1.00	1.00
cockroach#pear	1.00	1.00
saxophone#spoon	1.00	1.25
buggy#motorcycle	2.50	2.25
mackerel#potato	1.75	1.00
candle#rope	1.25	1.25
ball#book	1.00	1.00
drill#jar	1.00	1.00
saddle#stork	1.00	1.00
jacket#sink	1.00	1.00
mackerel#tortoise	2.00	1.00
peg#stereo	1.00	1.00
mat#pier	1.00	1.25
cage#gloves	1.00	1.00
birch#pan	1.00	1.00
banner#eggplant	1.00	1.00
grapefruit#tomato	3.50	2.50
level#pencil	1.75	1.75
camel#sheep	3.25	2.00
saddle#trumpet	1.00	1.00
guppy#orange	1.00	1.00
panther#skunk	2.25	1.50
cellar#whale	1.00	1.00
corn#ruler	1.00	1.50
accordion#saxophone	3.75	1.00
deer#goat	3.75	3.00
crocodile#mole_(animal)	2.00	1.00
bungalow#rabbit	1.00	1.00
cheetah#lion	4.00	3.00
bazooka#box	1.00	1.00
menu#turkey	2.00	1.00
dishwasher#mouse	1.00	1.00
garage#keyboard_(musical)	1.00	1.00
dove#swan	4.50	3.25
stork#woodpecker	4.25	2.75
bridge#porcupine	1.00	1.00
marble#sledgehammer	1.00	1.00
lime#van	1.00	1.00
garlic#radish	3.75	2.25
balloon#rope	1.00	1.00
corkscrew#violin	1.00	1.33
skirt#thermometer	1.00	1.00
lamb#parka	1.00	1.00
jeans#socks	3.33	2.33
bazooka#shotgun	4.00	4.00
balloon#corn	1.00	1.00
minnow#mole_(animal)	2.00	1.00
chain#keyboard_(musical)	1.00	1.00
beaver#seagull	2.00	1.00
bagpipe#lion	1.00	1.00
hyena#panther	3.33	3.67
olive#typewriter	1.00	1.00
plug_(electric)#van	1.00	1.00
cage#motorcycle	1.00	1.00
cheetah#hare	2.67	2.00
bomb#train	1.00	1.00
spoon#trolley	1.00	1.00
plate#raven	1.00	1.00
cauliflower#mandarin	2.67	1.67
church#clock	1.67	1.33
onions#pelican	1.00	1.00
goose#rattlesnake	2.33	1.00
limousine#skyscraper	1.00	1.33
bus#strainer	1.00	1.00
toaster#yam	1.00	1.00
couch#pony	1.00	1.00
caribou#willow	1.33	1.00
cedar#coconut	1.67	1.33
apartment#bedroom	3.33	3.67
mug#raspberry	1.00	1.00
crow#pier	1.00	1.00
building#elevator	2.33	2.33
cauliflower#peach	2.67	1.00
slippers#socks	4.00	3.33
necklace#tomahawk	1.00	1.00
onions#tomato	3.33	2.33
brick#yam	1.00	1.33
bagpipe#zebra	1.00	1.33
hare#whale	2.33	1.00
doll#scarf	1.00	1.33
ashtray#blackbird	1.00	1.00
barn#garage	3.33	3.67
accordion#revolver	1.00	1.00
chain#motorcycle	1.00	1.00
butterfly#cantaloupe	1.00	1.00
bra#cello	1.00	1.00
rooster#sofa	1.00	1.00
bin_(waste)#bread	1.00	1.00
telephone#thermometer	1.00	1.00
colander#dress	1.00	1.33
elk#mouse	2.33	1.33
lamp#rake	1.33	1.67
microwave#moth	1.00	1.00
flute#rhubarb	1.00	1.67
canary#platypus	2.33	1.00
bolts#mandarin	1.00	1.00
bazooka#keyboard_(musical)	1.00	1.00
coconut#piano	1.00	1.00
box#cucumber	1.00	1.00
carrot#cranberry	3.00	1.67
lantern#tape_(scotch)	1.00	1.00
bureau#mixer	1.00	1.00
bullet#salamander	1.00	1.00
barrel#stork	1.00	1.00
lion#seagull	2.25	1.00
cap_(hat)#thimble	1.00	1.75
canary#leopard	2.00	1.00
jeep#tricycle	2.25	1.25
closet#gopher	1.00	1.00
bike#wheel	3.25	2.00
catapult#peas	1.00	1.00
microwave#muzzle	1.00	1.00
raft#rocker	1.00	1.50
paintbrush#pen	3.25	3.25
trout#wall	1.00	1.00
coat#gate	1.00	1.00
emu#moose	3.00	2.75
bluejay#mouse	2.50	1.50
mirror#mouse_(computer)	1.00	1.00
honeydew#pier	1.00	1.00
apartment#thermometer	1.00	1.00
guppy#plum	1.00	1.00
guitar#helmet	1.00	1.00
grasshopper#python	1.75	1.00
rifle#tank_(army)	2.75	1.50
beans#cod	1.25	1.00
dress#shirt	2.75	2.50
drum#piano	3.25	1.25
bagpipe#pistol	1.00	1.00
trousers#vest	2.75	1.75
guitar#plug_(electric)	1.25	1.00
bullet#missile	3.50	3.25
bread#potato	3.00	2.25
chain#snail	1.00	1.25
jeep#tractor	3.00	3.00
rocker#sleigh	1.50	2.75
chisel#stick	1.75	2.75
anchor#robin	1.00	1.00
blackbird#honeydew	1.00	1.00
duck#spear	1.00	1.00
banner#caribou	1.00	1.00
ruler#tape_(scotch)	2.25	1.25
baton#hoe	1.25	2.50
flea#turnip	1.00	1.00
pliers#wrench	4.00	3.50
cake#train	1.00	1.00
clamp#strawberry	1.00	1.00
bull#turkey	1.75	1.00
hare#kettle	1.00	1.00
rooster#toilet	1.00	1.00
stool_(furniture)#tripod	2.75	3.25
menu#shovel	1.00	1.00
gate#nightingale	1.00	1.00
trailer#tricycle	1.75	1.50
robe#socks	2.50	1.50
bureau#pistol	1.00	1.00
bat_(baseball)#ladle	1.00	2.25
dunebuggy#submarine	2.50	1.00
pigeon#woodpecker	4.00	3.75
mixer#sailboat	1.00	1.00
parsley#pier	1.00	1.00
ball#mixer	1.00	1.00
cake#lettuce	1.75	1.00
camel#dishwasher	1.00	1.00
elevator#hook	1.50	1.00
broccoli#slippers	1.00	1.00
elk#hoe	1.00	1.00
birch#groundhog	1.00	1.00
coconut#walnut	3.25	3.25
nylons#pajamas	3.00	2.75
napkin#stove	1.00	1.00
pepper#rhubarb	2.75	1.50
apple#tomato	3.75	4.25
bathtub#knife	1.25	1.00
fork#robin	1.00	1.00
hyena#moth	2.25	1.00
camisole#sweater	3.75	3.50
frog#toad	5.00	5.00
rifle#stereo	1.00	1.00
blueberry#shawl	1.00	1.00
drill#tank_(container)	1.25	1.00
fawn#vulture	2.75	1.25
bluejay#finch	4.50	3.50
cupboard#gate	1.00	1.00
grater#inn	1.00	1.00
cedar#python	1.00	1.25
honeydew#turtle	1.00	1.25
chapel#jet	1.25	1.00
plate#sardine	1.00	1.00
sleigh#tricycle	2.75	2.00
asparagus#elk	1.00	1.00
chipmunk#seagull	2.00	1.00
balloon#boots	1.00	1.33
missile#spear	3.00	2.00
buzzard#whale	2.00	1.00
chandelier#deer	1.00	1.00
raisin#stove	1.00	1.00
dish#salmon	1.00	1.33
hyena#lamp	1.00	1.00
dunebuggy#strainer	1.00	1.00
elephant#hoe	1.00	1.00
inn#submarine	1.33	1.00
peg#pillow	1.00	1.00
cauliflower#guitar	1.00	1.00
cathedral#sofa	1.00	1.00
canary#frog	2.00	1.00
cheetah#ladle	1.00	1.00
bench#tongs	1.00	1.00
fork#shovel	2.00	3.00
spade#swimsuit	1.00	1.00
bus#table	1.00	1.00
jet#pin	1.00	1.00
caterpillar#radio	1.00	1.00
flamingo#toad	2.00	1.00
comb#truck	1.00	1.00
beets#cake	1.67	1.00
crocodile#hook	1.00	1.00
door#gate	4.00	3.67
cedar#willow	4.00	3.67
rocker#shelves	1.33	1.67
dove#earmuffs	1.00	1.00
mole_(animal)#mouse_(computer)	2.20	2.60
beets#crab	1.20	1.00
lamb#rabbit	2.60	1.80
fan_(appliance)#housefly	1.00	1.00
balloon#sack	1.20	2.40
accordion#raft	1.20	1.20
mink_(animal)#pelican	1.60	1.00
eel#fridge	1.00	1.00
cathedral#mink_(coat)	1.00	1.00
chimp#crow	1.80	1.00
eggplant#tripod	1.00	1.00
cellar#jacket	1.00	1.00
catapult#crossbow	2.40	1.40
platypus#skunk	2.40	2.00
bluejay#fox	1.80	1.00
beans#coconut	1.60	1.00
barrel#nylons	1.00	1.00
faucet#microscope	1.20	1.80
bridge#ship	1.40	1.20
bathtub#bench	1.00	1.40
buggy#wrench	1.20	1.00
cupboard#plug_(electric)	1.40	1.00
lamp#stove	2.00	1.40
hoe#tack	1.40	1.00
nectarine#strawberry	3.00	1.60
shield#whale	1.00	1.00
apartment#inn	3.00	2.80
eagle#seal	1.80	1.00
moose#rat	1.80	1.00
coyote#skunk	2.50	2.00
curtains#rocker	1.25	1.00
bow_(weapon)#helicopter	1.00	1.00
barrel#submarine	1.00	2.00
leopard#rattlesnake	1.75	1.00
giraffe#keyboard_(musical)	1.00	1.00
jet#razor	1.00	1.00
broom#screwdriver	1.25	1.75
stereo#whip	1.00	1.00
hook#rope	1.75	1.50
crowbar#fox	1.00	1.00
hoe#sweater	1.00	1.00
alligator#clarinet	1.00	1.00
catapult#garage	1.00	1.00
level#stove	1.00	1.00
barn#pier	1.25	1.00
freezer#unicycle	1.00	1.00
squid#tuna	3.00	2.25
bomb#truck	1.00	1.00
clamp#napkin	1.00	1.00
candle#sandals	1.00	1.00
cello#guitar	4.25	4.00
key#shelves	1.00	1.00
asparagus#minnow	1.00	1.00
pepper#tomato	3.00	2.25
fawn#partridge	2.25	1.50
earmuffs#shed	1.00	1.00
chickadee#stork	3.75	3.00
basket#carpet	1.00	1.00
couch#scissors	1.00	1.00
napkin#telephone	1.00	1.00
beehive#pine	1.00	1.00
hatchet#revolver	2.25	1.75
butterfly#groundhog	2.00	1.00
beaver#hare	3.25	3.25
cedar#oak	4.25	4.50
pear#tomato	3.00	2.75
onions#trout	1.25	1.00
buffalo#deer	3.00	3.25
cucumber#mink_(coat)	1.00	1.00
donkey#level	1.00	1.00
cherry#lemon	3.25	2.25
pigeon#rifle	1.00	1.00
jacket#sweater	4.25	4.25
balloon#football	2.00	2.50
bra#stereo	1.00	1.00
bag#bathtub	1.00	1.00
catapult#whale	1.00	1.00
blouse#pepper	1.00	1.00
rock#ruler	1.00	1.00
boots#sandals	4.00	3.50
alligator#tongs	1.00	1.00
hyena#van	1.00	1.00
elephant#spear	1.00	1.00
wall#wand	1.00	1.00
mushroom#sparrow	1.00	1.00
clarinet#shoes	1.00	1.00
mug#pig	1.00	1.00
closet#desk	1.75	1.25
cod#coyote	1.75	1.00
basket#scarf	1.00	1.00
canoe#fan_(appliance)	1.00	1.00
raspberry#trumpet	1.00	1.00
broccoli#bureau	1.00	1.00
cucumber#lemon	2.40	1.20
beaver#crane_(machine)	1.00	1.00
canary#rat	2.00	1.20
hoe#racquet	1.00	1.80
garage#microwave	1.40	1.40
caribou#walrus	2.40	1.80
octopus#turtle	2.00	1.40
crayon#mushroom	1.00	1.00
chair#sled	1.60	2.00
knife#missile	2.00	1.60
clock#pine	1.00	1.00
drum#rocket	1.00	1.00
machete#panther	1.00	1.00
shield#tray	1.20	2.60
apartment#bed	1.80	1.40
bottle#mouse_(computer)	1.00	1.20
bullet#rifle	3.20	1.60
pyramid#squid	1.00	1.20
coyote#sparrow	2.00	1.00
catapult#stone	2.00	1.40
butterfly#moth	4.20	4.40
birch#pepper	1.20	1.00
elk#mixer	1.00	1.00
budgie#chipmunk	1.80	1.20
brush#paintbrush	4.20	4.60
bear#coconut	1.00	1.00
cap_(hat)#wheel	1.00	1.00
lemon#mittens	1.00	1.00
dish#spoon	3.40	1.50
groundhog#penguin	2.00	1.50
biscuit#nectarine	1.80	1.25
bus#fridge	1.00	1.25
broccoli#jeans	1.00	1.00
fan_(appliance)#wagon	1.00	1.00
cake#dagger	1.00	1.00
swimsuit#tent	1.00	1.25
butterfly#cheetah	2.00	1.00
beets#hammer	1.00	1.00
menu#robe	1.00	1.00
raven#shovel	1.00	1.00
cup#pencil	1.20	1.00
crayon#rope	1.20	1.50
cabbage#vine	1.80	1.00
chair#house	2.00	1.00
bluejay#salamander	1.80	1.00
skis#stork	1.00	1.00
rocket#screwdriver	1.00	2.00
dandelion#pineapple	1.20	1.25
crown#oriole	1.00	1.00
chandelier#squirrel	1.20	1.00
microwave#stick	1.00	1.00
bolts#fork	1.20	1.75
church#otter	1.00	1.00
tape_(scotch)#veil	1.00	1.50
blueberry#oven	1.00	1.00
lantern#onions	1.00	1.00
lamp#skillet	1.25	1.00
olive#orange	3.50	2.33
canary#yam	1.00	1.00
turtle#walrus	3.00	1.33
asparagus#avocado	3.25	1.33
salmon#sparrow	1.75	1.00
sheep#tractor	1.25	1.00
partridge#seagull	3.50	2.67
coconut#grapefruit	3.50	2.67
fence#house	3.25	1.00
shirt#swimsuit	3.25	1.33
bathtub#saddle	1.00	1.33
cauliflower#kettle	1.00	1.33
bow_(weapon)#rope	1.50	1.33
coat#motorcycle	1.50	1.00
caterpillar#harp	1.00	1.00
cucumber#pumpkin	3.75	1.33
apartment#flea	1.00	1.00
pepper#trolley	1.00	1.00
menu#table	2.25	1.00
peach#pine	1.50	1.67
helmet#shovel	1.25	1.00
crayon#hook	2.00	1.33
hamster#parakeet	2.00	1.33
lettuce#raven	1.00	1.00
banana#blueberry	4.00	1.33
hornet#nightgown	1.00	1.00
biscuit#trousers	1.00	1.00
peacock#skyscraper	1.00	1.00
chipmunk#sardine	2.00	1.00
sleigh#spade	1.00	1.50
cape#skirt	3.00	3.00
goose#salamander	2.25	1.00
cathedral#tongs	1.00	1.00
bathtub#donkey	1.00	1.00
avocado#raspberry	3.00	2.25
bungalow#clarinet	1.00	1.00
cat#mink_(coat)	1.25	2.00
bullet#thimble	1.00	3.00
beets#saxophone	1.00	1.00
mole_(animal)#razor	1.00	1.00
birch#mouse	1.00	1.00
pyramid#stork	1.00	1.00
bat_(animal)#curtains	1.00	1.25
hamster#rat	3.75	3.75
box#cage	3.50	3.50
honeydew#starling	1.00	1.00
muzzle#spear	1.00	1.25
crow#spatula	1.00	1.00
caterpillar#finch	2.00	1.00
mouse_(computer)#rock	1.00	2.00
ashtray#raisin	1.00	1.00
projector#veil	1.00	1.00
bomb#grenade	4.75	3.50
chicken#swan	3.75	3.00
knife#machete	4.00	4.00
bin_(waste)#corn	1.00	1.00
mackerel#walrus	2.00	1.25
peach#vine	1.75	1.00
spoon#trombone	1.00	1.33
fence#spider	1.00	1.00
microscope#walrus	1.00	1.00
beets#helmet	1.00	1.00
skirt#taxi	1.00	1.00
mink_(animal)#wand	1.00	1.00
hose_(tubing)#sweater	1.00	1.00
camel#chickadee	2.33	1.33
giraffe#trout	2.00	1.00
butterfly#olive	1.00	1.00
paintbrush#pier	1.00	1.00
buzzard#tiger	2.00	1.00
level#piano	1.00	1.00
blender#lamp	1.33	1.33
chain#mittens	1.00	1.00
boat#box	1.33	2.00
bookcase#shovel	1.00	1.00
baton#stork	1.00	1.00
brush#raisin	1.00	1.00
desk#elevator	1.00	1.00
earmuffs#garlic	1.00	1.33
chandelier#goldfish	1.00	1.00
skillet#tank_(container)	1.67	2.33
scissors#trousers	1.00	1.33
octopus#peg	1.00	1.00
cat#finch	2.33	1.33
cantaloupe#honeydew	4.67	4.67
jacket#shirt	3.67	4.00
accordion#tank_(army)	1.00	1.33
marble#umbrella	1.00	1.00
lion#skyscraper	1.00	1.00
paintbrush#stone	1.00	1.00
nylons#slippers	2.50	2.00
closet#elevator	1.50	2.75
accordion#hut	1.00	1.00
celery#dish	1.00	1.00
banjo#guitar	4.50	4.00
nightingale#swan	3.75	3.00
dunebuggy#partridge	1.00	1.00
elk#wall	1.00	1.00
couch#telephone	1.00	1.00
boat#chair	1.25	1.00
beets#plum	2.25	2.50
dolphin#eagle	1.75	1.00
bike#machete	1.00	1.00
crowbar#raven	1.00	1.00
crow#rock	1.00	1.00
biscuit#carpet	1.00	1.00
broom#fork	1.25	1.75
hornet#plate	1.00	1.00
airplane#blender	1.25	1.00
bedroom#platypus	1.00	1.00
banana#seagull	1.00	1.00
harmonica#porcupine	1.00	1.00
shovel#spatula	3.00	2.50
dove#tiger	1.75	1.00
beetle#caterpillar	3.00	2.25
cape#skunk	1.25	1.00
panther#sardine	1.75	1.00
raccoon#walrus	2.00	1.00
bouquet#jet	1.00	1.00
hut#saxophone	1.00	1.00
plate#skillet	2.67	2.67
razor#spatula	1.00	1.00
crayon#paintbrush	3.00	1.67
cupboard#trolley	1.00	1.00
spade#stone	1.00	1.00
cap_(hat)#oven	1.00	1.00
apartment#turkey	1.00	1.00
clamp#submarine	1.00	1.00
sink#tiger	1.00	1.00
crocodile#frog	1.67	1.33
birch#tortoise	1.00	1.00
jar#vulture	1.00	1.00
bull#cow	4.00	4.67
gown#shirt	3.33	3.00
level#rock	1.00	1.00
bracelet#motorcycle	1.00	1.00
barn#building	4.00	4.00
boat#kettle	1.00	1.00
airplane#ship	3.00	1.33
couch#pigeon	1.00	1.00
anchor#pin	1.67	1.00
raisin#zucchini	2.33	1.00
beetle#cabin	1.00	1.00
magazine#toilet	1.00	1.00
apron#hammer	1.00	1.00
inn#zebra	1.00	1.00
bazooka#harp	1.00	1.00
beets#shotgun	1.00	1.00
cucumber#pineapple	2.60	1.60
hare#wrench	1.00	1.00
parakeet#submarine	1.00	1.00
corkscrew#door	1.20	1.00
eagle#whale	1.80	1.00
mirror#spider	1.00	1.00
shawl#trolley	1.00	1.00
cape#mink_(animal)	1.80	1.40
hatchet#yam	1.00	1.00
mat#rope	1.20	1.00
eel#machete	1.00	1.00
partridge#tuna	1.80	1.00
buzzard#chicken	3.60	3.60
raccoon#skunk	3.60	3.20
broom#wheel	1.00	1.00
bolts#table	1.00	1.00
rocket#tank_(army)	2.40	1.60
dolphin#fawn	2.00	1.00
cello#hut	1.00	1.00
avocado#crab	1.00	1.00
blender#cannon	1.00	1.00
garage#lobster	1.00	1.00
cheese#pine	1.00	1.00
crown#dagger	1.00	1.00
subway#typewriter	1.00	1.00
saxophone#shack	1.00	1.00
level#stone	1.00	1.00
chair#stool_(furniture)	4.20	3.80
mandarin#zucchini	2.20	1.20
buffalo#bungalow	1.00	1.00
knife#scissors	3.33	3.33
pillow#rock	1.00	1.33
football#marble	1.67	1.67
corn#thimble	1.00	1.00
hamster#squirrel	3.00	3.33
apron#bed	1.33	1.33
cabin#train	1.67	2.00
avocado#pencil	1.00	1.00
bagpipe#faucet	1.00	1.33
grasshopper#harpsichord	1.00	1.00
shield#tortoise	1.33	2.00
barn#scooter	1.00	1.00
doll#owl	1.00	1.33
crown#pheasant	1.00	1.67
blackbird#stork	3.67	2.67
kettle#spoon	2.67	1.33
ball#fan_(appliance)	1.00	1.00
fence#hyena	1.00	1.00
dandelion#deer	1.00	1.00
gloves#whip	1.33	1.00
pipe_(plumbing)#tomahawk	1.33	1.67
carrot#horse	1.00	1.00
caterpillar#moth	3.67	1.67
banner#scarf	1.33	2.67
blueberry#raspberry	4.67	4.00
chain#spatula	1.00	1.00
paintbrush#parakeet	1.00	1.00
chipmunk#mink_(coat)	1.00	2.00
axe#bayonet	3.00	1.67
bow_(ribbon)#pipe_(plumbing)	1.00	1.75
harpsichord#hose_(tubing)	1.00	1.00
bull#hoe	1.00	1.00
bagpipe#tap	1.00	1.25
starling#stork	4.00	2.50
candle#elephant	1.00	1.00
mink_(animal)#partridge	2.00	1.00
dove#giraffe	2.00	1.00
saddle#wasp	1.00	1.00
budgie#squirrel	2.50	2.25
ball#cake	1.00	1.00
crowbar#moose	1.00	1.25
chickadee#ostrich	3.25	2.25
turnip#yacht	1.00	1.00
ant#blender	1.00	1.00
bayonet#radish	1.00	1.00
beaver#gopher	3.50	4.00
pillow#stone	1.00	1.50
blouse#fox	1.00	1.25
garage#goldfish	1.00	1.00
parka#tie	2.00	1.75
avocado#pumpkin	2.25	1.75
beetle#moth	3.00	2.00
fence#worm	1.00	1.00
knife#tuna	1.00	1.00
helicopter#tank_(army)	2.50	1.50
jacket#skirt	3.25	2.25
pig#toad	2.00	1.00
barrel#cabinet	2.00	1.25
ladle#pan	2.75	1.25
fridge#helicopter	1.00	1.00
cheese#jeans	1.00	1.00
boat#truck	2.75	2.00
sandals#trousers	2.75	1.00
barn#bull	1.75	1.00
drill#garage	1.25	1.00
beehive#radish	1.00	1.00
earmuffs#keyboard_(musical)	1.00	1.00
carrot#clamp	1.00	1.00
parakeet#skirt	1.00	1.00
fan_(appliance)#key	1.00	1.00
bread#dog	1.00	1.00
mug#skillet	2.25	1.25
cod#gopher	1.75	1.00
python#revolver	1.00	1.00
spoon#strainer	2.25	1.75
bluejay#squirrel	1.75	1.00
cap_(bottle)#inn	1.00	1.00
bathtub#bed	1.50	1.50
carpet#goat	1.00	1.00
gate#vulture	1.00	1.00
buckle#screws	1.75	1.50
knife#sword	3.75	4.00
chain#sack	1.00	1.00
lamb#sheep	4.75	4.75
bouquet#stool_(furniture)	1.00	1.00
chickadee#sardine	1.75	1.00
chandelier#grapefruit	1.00	1.00
raven#rooster	3.75	3.25
mouse_(computer)#shack	1.00	1.00
carrot#radish	3.67	2.33
projector#shoes	1.00	1.00
chapel#hornet	1.00	1.00
bungalow#vulture	1.00	1.00
