Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
couch,has_4_legs,external_component,e,ce,visual-form_and_surface,6,11,468,49,ND,0.020,0.013,31.12,31.12,10,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,has_pillows,associated_entity,s,e,encyclopaedic,6,11,26,3,ND,0.333,0.231,150.46,131.33,11,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,used_for_seating_many_people,function,s,f,function,6,11,6,1,D,1.000,1.000,0,0,28,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,associated_with_couch_potato,associated_entity,s,e,encyclopaedic,5,14,5,1,D,1.000,1.000,0,0,28,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,is_heavy,systemic_property,e,sys,tactile,5,14,253,27,ND,0.037,0.020,0,0,8,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,is_large,external_surface_property,e,se,visual-form_and_surface,5,14,1076,106,ND,0.009,0.005,0,0,8,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,made_of_leather,made_of,e,m,visual-form_and_surface,5,14,206,13,ND,0.077,0.024,0,0,15,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,made_of_material,made_of,e,m,visual-form_and_surface,5,14,154,18,ND,0.056,0.032,0,0,16,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,used_by_opening_into_a_bed,action,s,a,function,5,14,5,1,D,1.000,1.000,0,0,26,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
couch,used_for_relaxing,function,s,f,function,5,14,25,4,ND,0.250,0.200,183.81,153.61,17,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
cougar,is_fast,systemic_property,e,sys,visual-motion,23,1,346,33,ND,0.030,0.066,40.09,22.76,7,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,an_animal,superordinate,c,h,taxonomic,20,2,,99,ND,0.010,,182.86,0,9,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,a_cat,coordinate,c,c,taxonomic,14,3,,5,ND,0.200,,114.63,0,5,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,beh_-_eats,entity_behavior,e,b,visual-motion,10,4,443,39,ND,0.026,0.023,28.83,19.74,10,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_a_tail,external_component,e,ce,visual-form_and_surface,9,5,379,39,ND,0.026,0.024,103.13,66.47,10,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_fur,external_component,e,ce,visual-form_and_surface,9,5,264,22,ND,0.045,0.034,87.44,51.88,7,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,a_relative_of_cats,coordinate,c,c,taxonomic,8,7,,1,D,1.000,,0,0,18,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,a_predator,superordinate,c,h,taxonomic,7,8,,9,ND,0.111,,38.54,0,10,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,is_dangerous,systemic_property,e,sys,encyclopaedic,7,8,316,37,ND,0.027,0.022,0,0,12,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,is_wild,systemic_property,e,sys,encyclopaedic,7,8,23,3,ND,0.333,0.304,85.11,38.5,7,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_4_legs,external_component,e,ce,visual-form_and_surface,6,11,468,49,ND,0.020,0.013,107.69,40.95,10,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_claws,external_component,e,ce,visual-form_and_surface,6,11,99,10,ND,0.100,0.061,9.45,0,9,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,is_brown,external_surface_property,e,se,visual-colour,6,11,480,54,ND,0.019,0.013,23.29,0,8,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,lives_in_mountains,location,s,l,encyclopaedic,6,11,22,3,ND,0.333,0.273,21.15,9.99,18,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,a_mammal,superordinate,c,h,taxonomic,5,15,,42,ND,0.024,,115.33,0,8,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,beh_-_eats_animals,entity_behavior,e,b,visual-motion,5,15,11,2,D,0.500,0.455,0,0,18,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_a_long_tail,external_component,e,ce,visual-form_and_surface,5,15,51,6,ND,0.167,0.098,19.56,19.56,15,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_teeth,internal_component,e,ci,visual-form_and_surface,5,15,144,14,ND,0.071,0.035,17.21,17.21,9,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,is_large,external_surface_property,e,se,visual-form_and_surface,5,15,1076,106,ND,0.009,0.005,10.67,0,8,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,is_vicious,systemic_property,e,sys,encyclopaedic,5,15,5,1,D,1.000,1.000,0,0,10,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,lives_in_forests,location,s,l,encyclopaedic,5,15,68,9,ND,0.111,0.074,59.79,48.67,16,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,lives_in_jungles,location,s,l,encyclopaedic,5,15,55,7,ND,0.143,0.091,56.09,22.39,16,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,lives_in_wilderness,location,s,l,encyclopaedic,5,15,66,9,ND,0.111,0.076,77.2,43.82,19,k,1,0.00,14,2.64,2.20,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cow,beh_-_produces_milk,entity_behavior,e,b,visual-motion,21,1,38,2,D,0.500,0.553,0,0,19,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,an_animal,superordinate,c,h,taxonomic,18,2,,99,ND,0.010,,136.13,0,9,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,beh_-_eats,entity_behavior,e,b,visual-motion,18,2,443,39,ND,0.026,0.041,37.16,28.07,10,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,beh_-_eats_grass,entity_behavior,e,b,visual-motion,17,4,62,7,ND,0.143,0.274,106.46,99.67,16,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_large,external_surface_property,e,se,visual-form_and_surface,16,5,1076,106,ND,0.009,0.015,10.67,0,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,has_4_legs,external_component,e,ce,visual-form_and_surface,13,6,468,49,ND,0.020,0.028,126.92,60.18,10,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,has_legs,external_component,e,ce,visual-form_and_surface,13,6,489,44,ND,0.023,0.027,60.91,49.46,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,a_mammal,superordinate,c,h,taxonomic,11,8,,42,ND,0.024,,87.91,0,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,beh_-_moos,entity_behavior,e,b,sound,11,8,20,2,D,0.500,0.550,0,0,10,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_white,external_surface_property,e,se,visual-colour,11,8,634,51,ND,0.020,0.017,6.95,6.95,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_black,external_surface_property,e,se,visual-colour,10,11,607,50,ND,0.020,0.016,6.95,6.95,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,eaten_as_meat,function,s,f,function,9,12,43,6,ND,0.167,0.209,79.25,79.25,13,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,has_an_udder,external_component,e,ce,visual-form_and_surface,8,13,8,1,D,1.000,1.000,0,0,12,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_brown,external_surface_property,e,se,visual-colour,8,13,480,54,ND,0.019,0.017,23.29,0,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,lives_on_farms,location,s,l,encyclopaedic,8,13,116,12,ND,0.083,0.069,69.91,57.72,14,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,used_for_producing_milk,function,s,f,function,7,16,14,2,D,0.500,0.500,0,0,23,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_domestic,systemic_property,e,sys,encyclopaedic,6,17,29,5,ND,0.200,0.207,29.02,29.02,11,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,beh_-_produces_manure,entity_behavior,e,b,visual-motion,5,18,27,3,ND,0.333,0.185,0,0,21,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,eaten_as_beef,function,s,f,function,5,18,5,1,D,1.000,1.000,0,0,13,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,has_eyes,external_component,e,ce,visual-form_and_surface,5,18,118,16,ND,0.063,0.042,7.65,7.65,8,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_smelly,external_surface_property,e,se,smell,5,18,142,16,ND,0.063,0.035,0,0,9,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,is_stupid,evaluation,i,e,encyclopaedic,5,18,10,2,D,0.500,0.500,0,0,9,k,45,3.81,2611,7.87,5.40,3,2,1,0.00,0.00,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
coyote,is_furry,external_surface_property,e,se,tactile,20,1,211,20,ND,0.050,0.095,79.34,48.75,8,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,an_animal,superordinate,c,h,taxonomic,19,2,,99,ND,0.010,,180.77,0,9,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,beh_-_howls,entity_behavior,e,b,sound,17,3,17,1,D,1.000,1.000,0,0,11,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,a_dog,coordinate,c,c,taxonomic,15,4,,1,D,1.000,,0,0,5,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,has_4_legs,external_component,e,ce,visual-form_and_surface,14,5,468,49,ND,0.020,0.030,116.45,49.71,10,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,a_carnivore,superordinate,c,h,taxonomic,11,6,,11,ND,0.091,,69.18,0,11,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,has_teeth,internal_component,e,ci,visual-form_and_surface,10,7,144,14,ND,0.071,0.069,26.13,17.21,9,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,beh_-_hunts,entity_behavior,e,b,encyclopaedic,9,8,36,5,ND,0.200,0.250,52.73,23.47,11,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,lives_in_wilderness,location,s,l,encyclopaedic,9,8,66,9,ND,0.111,0.136,78.07,34.31,19,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,a_mammal,superordinate,c,h,taxonomic,8,10,,42,ND,0.024,,120.83,0,8,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,has_sharp_teeth,internal_component,e,ci,visual-form_and_surface,7,11,39,3,ND,0.333,0.179,29.12,29.12,15,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,lives_in_forests,location,s,l,encyclopaedic,7,11,68,9,ND,0.111,0.103,35.01,23.89,16,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,lives_in_packs,larger_whole,e,w,encyclopaedic,6,13,11,2,D,0.500,0.545,0,0,14,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,a_wolf,coordinate,c,c,taxonomic,5,14,,1,D,1.000,,0,0,6,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,has_a_tail,external_component,e,ce,visual-form_and_surface,5,14,379,39,ND,0.026,0.013,80.44,43.78,10,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,hunted_by_people,participant,s,p,function,5,14,267,27,ND,0.037,0.019,79.13,36.18,16,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,lives_in_deserts,location,s,l,encyclopaedic,5,14,57,6,ND,0.167,0.088,0,0,16,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
crab,is_edible,function,s,f,function,18,1,890,78,ND,0.013,0.020,59.45,48.86,9,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,has_claws,external_component,e,ce,visual-form_and_surface,17,2,99,10,ND,0.100,0.172,59.01,30.93,9,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,is_red,external_surface_property,e,se,visual-colour,17,2,382,26,ND,0.038,0.045,6.74,0,6,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,has_pinchers,external_component,e,ce,visual-form_and_surface,13,4,13,1,D,1.000,1.000,0,0,12,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,has_legs,external_component,e,ce,visual-form_and_surface,11,5,489,44,ND,0.023,0.022,18.05,6.6,8,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,lives_in_oceans,location,s,l,encyclopaedic,11,5,101,10,ND,0.100,0.109,100.39,44.04,15,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,has_a_hard_shell,external_component,e,ce,tactile,10,7,28,3,ND,0.333,0.357,26.5,19.38,16,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,lives_in_water,location,s,l,encyclopaedic,10,7,394,32,ND,0.031,0.025,36.05,29.08,14,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,beh_-_walks_sideways,entity_behavior,e,b,visual-motion,8,9,8,1,D,1.000,1.000,0,0,20,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,tastes_good,internal_surface_property,e,si,taste,8,9,235,33,ND,0.030,0.034,24.49,24.49,11,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,lives_on_the_sand,location,s,l,encyclopaedic,7,11,7,1,D,1.000,1.000,0,0,17,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,a_crustacean,superordinate,c,h,taxonomic,6,12,,2,D,0.500,,0,0,12,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,a_seafood,superordinate,c,h,taxonomic,6,12,,4,ND,0.250,,115.85,0,9,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,an_animal,superordinate,c,h,taxonomic,6,12,,99,ND,0.010,,11.45,0,9,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,is_small,external_surface_property,e,se,visual-form_and_surface,6,12,1229,121,ND,0.008,0.005,0,0,8,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
crab,has_6_legs,external_component,e,ce,visual-form_and_surface,5,16,16,3,ND,0.333,0.313,23.92,23.92,10,k,2,0.69,565,6.34,4.20,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3
cranberry,is_red,external_surface_property,e,se,visual-colour,24,1,382,26,ND,0.038,0.063,45.21,21.46,6,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,a_fruit,superordinate,c,h,taxonomic,20,2,,29,ND,0.034,,174.16,0,7,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,used_for_juice,function,s,f,function,18,3,81,7,ND,0.143,0.222,96.84,63.71,14,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,eaten_with_turkey,associated_entity,s,e,encyclopaedic,16,4,16,1,D,1.000,1.000,0,0,17,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,eaten_in_sauces,function,s,f,function,13,5,13,1,D,1.000,1.000,0,0,15,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,grows_on_bushes,origin,s,or,encyclopaedic,10,6,40,4,ND,0.250,0.250,134.43,42.52,15,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,a_berry,superordinate,c,h,taxonomic,9,7,,3,ND,0.333,,129.98,0,7,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,eaten_at_Thanksgiving,time,s,t,encyclopaedic,9,7,33,2,D,0.500,0.273,0,0,21,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,tastes_sweet,internal_surface_property,e,si,taste,9,7,320,24,ND,0.042,0.028,124.69,53.99,12,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,is_small,external_surface_property,e,se,visual-form_and_surface,8,10,1229,121,ND,0.008,0.007,0,0,8,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,tastes_tart,internal_surface_property,e,si,taste,6,11,17,3,ND,0.333,0.353,82.72,58.82,11,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,eaten_at_Christmas,time,s,t,encyclopaedic,5,12,25,3,ND,0.333,0.200,0,0,18,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
cranberry,has_skin,external_component,e,ce,visual-form_and_surface,5,12,131,16,ND,0.063,0.038,64.75,34.41,8,k,1,0.00,121,4.80,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.320,0.291,164.30,11,31,2,0,2,1,0,3,0,0,4,2
